iter	Passed	Remaining
0	157	157634
1	159	79353
2	160	53292
3	161	40218
4	162	32411
5	163	27126
6	164	23349
7	165	20531
8	166	18365
9	167	16622
10	173	15614
11	174	14403
12	175	13351
13	176	12447
14	177	11665
15	178	10980
16	179	10370
17	180	9833
18	181	9368
19	182	8938
20	183	8541
21	184	8182
22	184	7856
23	185	7556
24	186	7279
25	187	7021
26	188	6787
27	189	6571
28	190	6369
29	191	6180
30	191	6001
31	192	5832
32	193	5676
33	194	5526
34	195	5392
35	196	5264
36	197	5141
37	198	5023
38	199	4913
39	200	4806
40	201	4702
41	201	4606
42	203	4523
43	204	4435
44	205	4351
45	205	4270
46	206	4193
47	207	4119
48	208	4047
49	209	3981
50	210	3919
51	211	3856
52	212	3795
53	213	3738
54	214	3681
55	215	3625
56	216	3576
57	217	3527
58	218	3480
59	219	3431
60	219	3384
61	220	3339
62	221	3294
63	222	3251
64	223	3210
65	224	3176
66	225	3140
67	226	3103
68	227	3068
69	228	3032
70	229	2998
71	229	2964
72	230	2930
73	231	2900
74	233	2873
75	233	2844
76	234	2815
77	235	2786
78	236	2758
79	237	2730
80	238	2703
81	239	2684
82	240	2656
83	241	2633
84	242	2609
85	243	2585
86	244	2562
87	245	2539
88	246	2519
89	247	2500
90	248	2479
91	249	2458
92	250	2438
93	250	2417
94	251	2398
95	252	2380
96	253	2362
97	254	2345
98	255	2328
99	256	2310
100	257	2293
101	258	2276
102	259	2261
103	260	2245
104	261	2230
105	262	2215
106	263	2199
107	264	2183
108	265	2167
109	266	2153
110	267	2139
111	267	2124
112	269	2111
113	270	2098
114	270	2085
115	271	2071
116	272	2056
117	273	2043
118	274	2029
119	274	2015
120	275	2004
121	276	1991
122	277	1979
123	278	1967
124	279	1955
125	280	1943
126	280	1931
127	281	1919
128	282	1908
129	283	1897
130	284	1886
131	285	1876
132	286	1865
133	286	1854
134	287	1844
135	288	1833
136	289	1823
137	290	1813
138	291	1804
139	292	1795
140	293	1785
141	293	1774
142	294	1765
143	295	1756
144	296	1748
145	297	1742
146	298	1734
147	300	1727
148	300	1718
149	301	1709
150	302	1700
151	303	1691
152	304	1683
153	304	1675
154	305	1667
155	306	1660
156	307	1652
157	308	1645
158	309	1638
159	310	1631
